rfMRI connectivity (ICA100 edge 809), Cluster_3, 0.035743
rfMRI connectivity (ICA100 edge 837), Cluster_3, 0.034316
rfMRI connectivity (ICA100 edge 857), Cluster_3, 0.036224
rfMRI connectivity (ICA100 edge 867), Cluster_3, 0.034239
rfMRI connectivity (ICA100 edge 885), Cluster_3, 0.032891
rfMRI connectivity (ICA100 edge 888), Cluster_3, 0.033457
rfMRI connectivity (ICA100 edge 896), Cluster_3, 0.034377
rfMRI connectivity (ICA100 edge 901), Cluster_3, 0.033044
rfMRI connectivity (ICA100 edge 919), Cluster_3, 0.033076
rfMRI connectivity (ICA100 edge 945), Cluster_3, 0.034503
rfMRI connectivity (ICA100 edge 1086), Cluster_3, 0.041445
rfMRI connectivity (ICA100 edge 1090), Cluster_3, 0.040550
rfMRI connectivity (ICA100 edge 1092), Cluster_3, 0.040959
rfMRI connectivity (ICA100 edge 1094), Cluster_3, 0.037676
rfMRI connectivity (ICA100 edge 1109), Cluster_3, 0.037596
rfMRI connectivity (ICA100 edge 1112), Cluster_3, 0.038772
rfMRI connectivity (ICA100 edge 1332), Cluster_3, 0.033588
rfMRI connectivity (ICA100 edge 1356), Cluster_3, 0.032879
rfMRI connectivity (ICA100 edge 1361), Cluster_3, 0.033393
IDP_dMRI_TBSS_ISOVF_Retrolenticular_part_of_internal_capsule_R, Cluster_4, 0.082025
IDP_dMRI_TBSS_ISOVF_Retrolenticular_part_of_internal_capsule_L, Cluster_4, 0.068607
IDP_dMRI_TBSS_ISOVF_Anterior_corona_radiata_R, Cluster_4, 0.162557
IDP_dMRI_TBSS_ISOVF_Anterior_corona_radiata_L, Cluster_4, 0.172838
IDP_dMRI_TBSS_ISOVF_Superior_corona_radiata_R, Cluster_4, 0.176918
IDP_dMRI_TBSS_ISOVF_Superior_corona_radiata_L, Cluster_4, 0.183707
IDP_dMRI_TBSS_ISOVF_Posterior_corona_radiata_R, Cluster_4, 0.178242
IDP_dMRI_TBSS_ISOVF_Posterior_corona_radiata_L, Cluster_4, 0.172627
IDP_dMRI_TBSS_ISOVF_Posterior_thalamic_radiation_R, Cluster_4, 0.154668
IDP_dMRI_TBSS_ISOVF_Posterior_thalamic_radiation_L, Cluster_4, 0.134414
IDP_dMRI_TBSS_ISOVF_Sagittal_stratum_R, Cluster_4, 0.107631
IDP_dMRI_TBSS_ISOVF_Sagittal_stratum_L, Cluster_4, 0.087556
IDP_dMRI_TBSS_ISOVF_Cingulum_cingulate_gyrus_R, Cluster_4, 0.130939
IDP_dMRI_TBSS_ISOVF_Cingulum_cingulate_gyrus_L, Cluster_4, 0.120303
IDP_dMRI_TBSS_ISOVF_Cingulum_hippocampus_R, Cluster_4, 0.047205
IDP_dMRI_TBSS_ISOVF_Cingulum_hippocampus_L, Cluster_4, 0.045994
IDP_dMRI_TBSS_ISOVF_Superior_longitudinal_fasciculus_R, Cluster_4, 0.206882
IDP_dMRI_TBSS_ISOVF_Superior_longitudinal_fasciculus_L, Cluster_4, 0.185192
IDP_dMRI_ProbtrackX_ISOVF_cgc_l, Cluster_4, 0.109895
IDP_dMRI_ProbtrackX_ISOVF_cgc_r, Cluster_4, 0.124168
IDP_dMRI_ProbtrackX_ISOVF_fmi, Cluster_4, 0.113074
IDP_dMRI_ProbtrackX_ISOVF_ifo_l, Cluster_4, 0.175515
IDP_dMRI_ProbtrackX_ISOVF_ifo_r, Cluster_4, 0.187002
IDP_dMRI_ProbtrackX_ISOVF_ilf_l, Cluster_4, 0.171067
IDP_dMRI_ProbtrackX_ISOVF_ilf_r, Cluster_4, 0.196417
IDP_dMRI_ProbtrackX_ISOVF_slf_l, Cluster_4, 0.215190
IDP_dMRI_ProbtrackX_ISOVF_slf_r, Cluster_4, 0.217015
IDP_dMRI_ProbtrackX_ISOVF_str_l, Cluster_4, 0.186683
IDP_dMRI_ProbtrackX_ISOVF_str_r, Cluster_4, 0.182771
IDP_dMRI_ProbtrackX_ISOVF_unc_l, Cluster_4, 0.070867
IDP_dMRI_ProbtrackX_ISOVF_unc_r, Cluster_4, 0.094658
rfMRI connectivity (ICA25 edge 33), Cluster_4, 0.024429
rfMRI connectivity (ICA25 edge 92), Cluster_4, 0.021208
rfMRI connectivity (ICA100 edge 125), Cluster_4, 0.022035
rfMRI connectivity (ICA100 edge 248), Cluster_4, 0.022462
rfMRI connectivity (ICA100 edge 386), Cluster_4, 0.019414
rfMRI connectivity (ICA100 edge 390), Cluster_4, 0.022938
rfMRI connectivity (ICA100 edge 404), Cluster_4, 0.021282
rfMRI connectivity (ICA100 edge 566), Cluster_4, 0.019975
rfMRI connectivity (ICA100 edge 635), Cluster_4, 0.019744
rfMRI connectivity (ICA100 edge 771), Cluster_4, 0.018811
rfMRI connectivity (ICA100 edge 776), Cluster_4, 0.019800
rfMRI connectivity (ICA100 edge 790), Cluster_4, 0.021215
rfMRI connectivity (ICA100 edge 801), Cluster_4, 0.019444
rfMRI connectivity (ICA100 edge 819), Cluster_4, 0.021939
rfMRI connectivity (ICA100 edge 829), Cluster_4, 0.019253
rfMRI connectivity (ICA100 edge 848), Cluster_4, 0.019901
rfMRI connectivity (ICA100 edge 1089), Cluster_4, 0.019570
rfMRI connectivity (ICA100 edge 1136), Cluster_4, 0.019418
rfMRI connectivity (ICA100 edge 1141), Cluster_4, 0.023739
rfMRI connectivity (ICA100 edge 1145), Cluster_4, 0.022775
rfMRI connectivity (ICA100 edge 1149), Cluster_4, 0.022475
rfMRI connectivity (ICA100 edge 1174), Cluster_4, 0.021383
rfMRI connectivity (ICA100 edge 1292), Cluster_4, 0.019202
rfMRI connectivity (ICA100 edge 1298), Cluster_4, 0.019294
rfMRI amplitudes (ICA100 node 46), Cluster_5, 0.050534
rfMRI connectivity (ICA25 edge 29), Cluster_5, 0.046425
rfMRI connectivity (ICA100 edge 55), Cluster_5, 0.041567
rfMRI connectivity (ICA100 edge 382), Cluster_5, 0.040580
rfMRI connectivity (ICA100 edge 383), Cluster_5, 0.053533
rfMRI connectivity (ICA100 edge 387), Cluster_5, 0.062691
rfMRI connectivity (ICA100 edge 391), Cluster_5, 0.049005
rfMRI connectivity (ICA100 edge 399), Cluster_5, 0.051464
rfMRI connectivity (ICA100 edge 607), Cluster_5, 0.040427
rfMRI connectivity (ICA100 edge 614), Cluster_5, 0.040767
rfMRI connectivity (ICA100 edge 619), Cluster_5, 0.039561
rfMRI connectivity (ICA100 edge 830), Cluster_5, 0.039061
rfMRI connectivity (ICA100 edge 870), Cluster_5, 0.036231
rfMRI connectivity (ICA100 edge 874), Cluster_5, 0.036381
rfMRI connectivity (ICA100 edge 882), Cluster_5, 0.036044
rfMRI connectivity (ICA100 edge 889), Cluster_5, 0.035789
rfMRI connectivity (ICA100 edge 900), Cluster_5, 0.035158
rfMRI connectivity (ICA100 edge 1007), Cluster_5, 0.041953
rfMRI connectivity (ICA100 edge 1021), Cluster_5, 0.043925
rfMRI connectivity (ICA100 edge 1127), Cluster_5, 0.041718
rfMRI connectivity (ICA100 edge 1130), Cluster_5, 0.055343
rfMRI connectivity (ICA100 edge 1146), Cluster_5, 0.052233
rfMRI connectivity (ICA100 edge 1154), Cluster_5, 0.042678
rfMRI connectivity (ICA100 edge 1162), Cluster_5, 0.050111
rfMRI connectivity (ICA100 edge 1165), Cluster_5, 0.056219
rfMRI connectivity (ICA100 edge 1167), Cluster_5, 0.049860
rfMRI connectivity (ICA100 edge 1170), Cluster_5, 0.046794
rfMRI connectivity (ICA100 edge 1383), Cluster_5, 0.035743
rfMRI connectivity (ICA100 edge 1409), Cluster_5, 0.036095
IDP_dMRI_TBSS_OD_Tapetum_R, Cluster_6, 0.026845
IDP_dMRI_TBSS_OD_Tapetum_L, Cluster_6, 0.026972
rfMRI connectivity (ICA25 edge 24), Cluster_6, 0.026125
rfMRI connectivity (ICA25 edge 47), Cluster_6, 0.028341
rfMRI connectivity (ICA25 edge 50), Cluster_6, 0.029736
rfMRI connectivity (ICA25 edge 96), Cluster_6, 0.024455
rfMRI connectivity (ICA25 edge 143), Cluster_6, 0.026471
rfMRI connectivity (ICA25 edge 174), Cluster_6, 0.026173
rfMRI connectivity (ICA100 edge 14), Cluster_6, 0.026020
rfMRI connectivity (ICA100 edge 17), Cluster_6, 0.023481
rfMRI connectivity (ICA100 edge 61), Cluster_6, 0.025916
rfMRI connectivity (ICA100 edge 144), Cluster_6, 0.022754
rfMRI connectivity (ICA100 edge 150), Cluster_6, 0.023563
rfMRI connectivity (ICA100 edge 171), Cluster_6, 0.024660
rfMRI connectivity (ICA100 edge 197), Cluster_6, 0.023579
rfMRI connectivity (ICA100 edge 203), Cluster_6, 0.023419
rfMRI connectivity (ICA100 edge 243), Cluster_6, 0.023893
rfMRI connectivity (ICA100 edge 306), Cluster_6, 0.025719
rfMRI connectivity (ICA100 edge 308), Cluster_6, 0.022701
rfMRI connectivity (ICA100 edge 314), Cluster_6, 0.023354
rfMRI connectivity (ICA100 edge 332), Cluster_6, 0.022939
rfMRI connectivity (ICA100 edge 514), Cluster_6, 0.023386
rfMRI connectivity (ICA100 edge 533), Cluster_6, 0.022978
rfMRI connectivity (ICA100 edge 542), Cluster_6, 0.024310
rfMRI connectivity (ICA100 edge 570), Cluster_6, 0.022680
rfMRI connectivity (ICA100 edge 573), Cluster_6, 0.022596
rfMRI connectivity (ICA100 edge 587), Cluster_6, 0.022710
rfMRI connectivity (ICA100 edge 589), Cluster_6, 0.022467
rfMRI connectivity (ICA100 edge 613), Cluster_6, 0.023206
rfMRI connectivity (ICA100 edge 676), Cluster_6, 0.024703
rfMRI connectivity (ICA100 edge 779), Cluster_6, 0.023293
rfMRI connectivity (ICA100 edge 853), Cluster_6, 0.023624
rfMRI connectivity (ICA100 edge 916), Cluster_6, 0.022503
rfMRI connectivity (ICA100 edge 937), Cluster_6, 0.022690
rfMRI connectivity (ICA100 edge 942), Cluster_6, 0.022793
rfMRI connectivity (ICA100 edge 950), Cluster_6, 0.022746
rfMRI connectivity (ICA100 edge 1039), Cluster_6, 0.022947
rfMRI connectivity (ICA100 edge 1134), Cluster_6, 0.022854
rfMRI connectivity (ICA100 edge 1182), Cluster_6, 0.022741
rfMRI connectivity (ICA100 edge 1211), Cluster_6, 0.022763
rfMRI connectivity (ICA100 edge 1396), Cluster_6, 0.022316
rfMRI connectivity (ICA100 edge 1402), Cluster_6, 0.022073
rfMRI connectivity (ICA100 edge 1420), Cluster_6, 0.022300
rfMRI connectivity (ICA100 edge 1433), Cluster_6, 0.022820
rfMRI connectivity (ICA100 edge 1458), Cluster_6, 0.022333
rfMRI connectivity (ICA100 edge 1480), Cluster_6, 0.022127
IDP_dMRI_TBSS_L2_Superior_cerebellar_peduncle_R, Cluster_7, 0.069044
IDP_dMRI_TBSS_L2_Superior_cerebellar_peduncle_L, Cluster_7, 0.071040
IDP_dMRI_TBSS_L3_Superior_cerebellar_peduncle_R, Cluster_7, 0.068191
IDP_dMRI_TBSS_L3_Superior_cerebellar_peduncle_L, Cluster_7, 0.069565
IDP_dMRI_TBSS_OD_Genu_of_corpus_callosum, Cluster_7, 0.047759
